,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Complex crisis in DPRK,"Socio-political,Floods,Other seasonal event,Food Security",PRK001,DPRK,PRK,0,15.254,4.97,5.459,0,5,0,0.5828366192877885,0.18989760048907228,0.20858169035610577,0,4,4.5
Conflict in Palestine,"Conflict,Socio-political,Violence",PSE002,Palestine,PSE,0.831,1.594,1.031,0.977,1.18,4.2,0.1496757925072046,0.28710374639769454,0.1856988472622478,0.17597262247838616,0.21253602305475505,5,4.6
Conflict in West Bank,"Conflict,Displacement,Socio-political,Violence",PSE003,Palestine,PSE,0.831,1.594,0.756,0.108,0.036,3.3,0.24984966927239927,0.4792543595911004,0.22730006013229104,0.032471437161755864,0.010823812387251955,3,3.15
Conflict in Gaza,"Conflict,Displacement,Socio-political,Violence",PSE004,Palestine,PSE,0,0,0.275,0.869,1.144,3.9,0,0,0.12348450830713965,0.3902110462505613,0.513695554557701,5,4.45
Lake Chad basin regional crisis,0,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",10.439,0,5.819,4.406,0.874,5,0.4846782431052094,0,0.27017364657814097,0.20456866932862847,0.04057944098802117,4,4.5
Venezuela Regional Crisis,0,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama","VEN,BRA,COL,ECU,PER,TTO,CHL,DOM,PAN",149.809,37.651,26.943,0,0,5,0.6987294894637177,0.17560936931558474,0.12566580535629332,0,0,3,4
Syrian Regional Crisis,0,REG004,"Syria,Türkiye,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",62.062,13.93,14.167,6.254,0.127,5,0.642863061943236,0.14429252123472136,0.14674746219183757,0.06478143774601201,0.0013155168841930806,4,4.5
Eastern Mediterranean Route ,0,REG006,"Türkiye,Greece","TUR,GRC",15.532,0.374,0.459,0.021,0,2.8,0.9478823385817161,0.02282436226046625,0.028011717319663128,0.001281581838154522,0,2,2.4
Central Mediterranean Route,0,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",123.103,0,1.275,x,x,3.5,0.9897489909791121,0,0.010251009020887939,x,x,1,2.25
Western Mediterranean Route,0,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",131.251,0,0.354,x,x,2.6,0.9973101325937465,0,0.002689867406253562,x,x,1,1.8
Rohingya Regional Crisis,0,REG011,"Bangladesh,Myanmar","BGD,MMR",0,1.8,1.697,1.495,0,4.2,0,0.3605047065892249,0.33987582615661927,0.29941918686160623,0,4,4.1
Southern Africa Regional Food Security Crisis,0,REG012,"Lesotho,Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania","LSO,MDG,MWI,NAM,SWZ,ZMB,ZWE,TZA",17.843,48.267,13.603,0.447,0,5,0.22259231536926147,0.6021332335329341,0.16969810379241518,0.0055763473053892215,0,3,4
Nagorno-Karabakh Conflict,0,REG013,"Armenia,Azerbaijan","ARM,AZE",2.552,0.353,0.154,0,0,2,0.8339869281045752,0.11535947712418301,0.05032679738562092,0,0,3,2.5
Eastern Africa Regional Drought Crisis,Drought,REG014,"Ethiopia,Somalia,Kenya","ETH,SOM,KEN",47.591,37.087,24.055,0.98,0,5,0.4337772187434488,0.3380365134487253,0.21925387146463957,0.008932396343186313,0,3,4
Turkiye / Syria earthquake,Earthquake,REG015,"Türkiye,Syria","TUR,SYR",9.1,14.723,3.021,0.15,0.006,4.2,0.337037037037037,0.5452962962962963,0.11188888888888888,0.005555555555555556,0.00022222222222222223,3,3.6
Displacement from Russia-Ukraine conflict in Romania,"Conflict,Displacement",ROU002,Romania,ROU,19.047,0,0.077,x,x,1.5,0.9959736456808199,0,0.004026354319180088,x,x,1,1.25
Displacement from Russia-Ukraine conflict in Russia,"Conflict,Displacement",RUS002,Russia,RUS,144.237,0,1.213,0,0,3.5,0.991660364386387,0,0.008339635613612926,0,0,1,2.25
Burundi and DRC refugees in Rwanda,Displacement,RWA002,Rwanda,RWA,2.382,0,0.135,0,0,1.9,0.9463647199046484,0,0.05363528009535161,0,0,3,2.45
