,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
ROU002,1,1,1,1,1,1,1,1,1,1,1,68,68,68,68,68,68,68,68,68,7.7,,
RUS002,1,1,1,1,1,1,1,1,1,1,1,69,69,69,69,69,69,69,69,69,7.8,,
RWA002,196,6,6,6,6,6,6,6,6,6,6,65,65,65,65,65,65,65,65,65,11.9,,
SDN001,2,2,2,2,2,2,2,2,2,2,245,72,72,72,72,72,72,72,72,72,33.3,,
SDN005,2,2,2,2,2,2,2,2,2,2,870,72,72,72,72,72,72,72,72,72,95.8,,
SEN002,0,0,0,453,518,0,0,0,0,0,453,63,63,63,63,63,63,63,63,63,148.7,,
SLV001,0,0,0,0,0,0,0,0,0,0,0,68,68,68,68,68,68,68,68,68,6.8,,
SOM001,195,195,195,1,43,1,1,1,1,1,195,65,65,65,65,65,65,65,65,65,50.4,,
SOM002,195,195,1,1,1,1,1,1,1,1,982,65,65,65,65,65,65,65,65,65,105.5,,
SSD001,198,198,198,7,7,47,47,47,47,47,198,65,65,65,65,65,65,65,65,65,71,,
SVK002,1,1,1,1,1,1,1,1,1,1,1,68,68,68,68,68,68,68,68,68,7.7,,
SWZ001,0,0,0,0,0,0,0,0,0,0,0,68,68,68,68,68,68,68,68,68,6.8,,
SYR001,123,123,123,0,0,71,71,71,71,71,1827,65,65,65,65,65,65,65,65,65,237,,
SYR002,123,123,123,123,123,123,123,123,123,123,123,65,65,65,65,65,65,65,65,65,117.2,,
TCD001,210,210,159,0,0,159,210,159,159,159,0,63,63,63,63,63,63,63,63,63,106.8,,
TCD003,210,210,210,0,36,210,210,210,210,210,0,63,63,63,63,63,63,63,63,63,135.9,,
TCD004,210,210,210,0,0,210,210,210,210,210,0,63,63,63,63,63,63,63,63,63,132.3,,
TCD005,210,210,210,0,0,210,210,210,210,210,0,63,63,63,63,63,63,63,63,63,132.3,,
THA001,196,4,4,4,4,4,196,4,196,196,1813,62,62,62,62,62,62,62,62,62,248.3,,
THA002,196,196,196,196,4,196,196,196,196,196,1813,62,62,62,62,62,62,62,62,62,325.1,,
THA003,196,4,4,4,4,4,196,4,196,196,1813,62,62,62,62,62,62,62,62,62,248.3,,
TLS003,92,92,92,92,92,92,92,92,92,92,92,65,65,65,65,65,65,65,65,65,89.3,,
TTO002,123,123,123,33,62,123,123,123,123,123,123,64,64,64,64,64,64,64,64,64,102,,
TUN002,549,3,3,3,3,3,3,3,3,3,549,77,77,77,77,77,77,77,77,77,65,,
TUR001,123,123,123,0,0,31,31,31,31,31,1811,65,65,65,65,65,65,65,65,65,215.4,,
TUR002,123,123,70,69,123,69,69,69,69,69,1811,65,65,65,65,65,65,65,65,65,248.3,,
TUR003,123,123,62,62,0,62,62,62,62,62,1811,65,65,65,65,65,65,65,65,65,231,,
TUR004,123,123,123,123,31,123,123,123,123,123,1811,65,65,65,65,65,65,65,65,65,276.8,,
TUR005,123,123,123,123,31,123,123,123,123,123,123,65,65,65,65,65,65,65,65,65,108,,
